Time [ms],Date,Time,Rel.Time [s],Infinity|RESP.RR [BREATHS_PER_MIN],Infinity|ECG.PVC_RATE [BEATS_PER_MIN],Infinity|ECG.ST_LEAD_DERIVED_V5 [MM],Infinity|ECG.ST_LEAD_DERIVED_V2 [MM],Infinity|ECG.HR [BEATS_PER_MIN],Infinity|ECG.PP [PERCENT],Infinity|ECG.ARR [BEATS_PER_MIN],Infinity|NIBP.SYSTOLIC [MMHG],Infinity|NIBP.MEAN [MMHG],Infinity|NIBP.DIASTOLIC [MMHG],Infinity|SPO2.Pr [BEATS_PER_MIN],Infinity|SPO2.SATURATION [PERCENT]
1642287190559,2022-01-15,23:53:10.559,38,81.0000,1.0000,0.1000,0.1000,168.0000,1.0000,1.0000,1.0000,1.0000,1.0000,170.0000,99.0000
1642287191543,2022-01-15,23:53:11.543,39,69.0000,1.0000,0.1000,0.1000,168.0000,1.0000,1.0000,1.0000,1.0000,1.0000,170.0000,99.0000
1642287192558,2022-01-15,23:53:12.558,40,64.0000,1.0000,0.1000,0.1000,169.0000,1.0000,1.0000,1.0000,1.0000,1.0000,170.0000,99.0000
1642287193558,2022-01-15,23:53:13.558,41,64.0000,1.0000,0.1000,0.1000,169.0000,1.0000,1.0000,1.0000,1.0000,1.0000,170.0000,99.0000
1642287194542,2022-01-15,23:53:14.542,42,53.0000,1.0000,0.1000,0.1000,169.0000,1.0000,1.0000,1.0000,1.0000,1.0000,170.0000,99.0000
1642287195557,2022-01-15,23:53:15.557,43,64.0000,1.0000,0.1000,0.1000,169.0000,1.0000,1.0000,1.0000,1.0000,1.0000,170.0000,99.0000
1642287196541,2022-01-15,23:53:16.541,44,66.0000,1.0000,0.1000,0.1000,170.0000,1.0000,1.0000,1.0000,1.0000,1.0000,170.0000,99.0000
1642287197541,2022-01-15,23:53:17.541,45,66.0000,1.0000,0.1000,0.1000,170.0000,1.0000,1.0000,1.0000,1.0000,1.0000,170.0000,99.0000
1642287198557,2022-01-15,23:53:18.557,46,56.0000,1.0000,0.1000,0.1000,170.0000,1.0000,1.0000,1.0000,1.0000,1.0000,170.0000,99.0000
1642287199541,2022-01-15,23:53:19.541,47,56.0000,1.0000,0.1000,0.1000,172.0000,1.0000,1.0000,1.0000,1.0000,1.0000,170.0000,99.0000
